"type","count"
"違規停車",215786
"行車速度超速60公里以下",191168
"違規停車拖吊",103607
"闖紅燈直行左轉",91123
"不依規定轉彎",84035
"停車時間位置方式車種不依規定",17485
"其他不遵守標誌標線號誌駕車",15730
"爭道行駛",15059
"未領有駕照駕車",9056
"酒精濃度超過規定標準者",8604
"不按遵行方向行駛",8590
"違規臨時停車",7262
"其他汽機車違規未列之條款",5458
"裝載不合規定",3789
"汽車裝載貨物行經設有地磅處所1公里內拒絕過磅",3609
"未經許可在道路擺設攤位",3390
"併排停車",3326
"闖紅燈右轉",3245
"違反高快速公路管制規定",2873
"在多車道轉彎不依規定",2514
"未戴安全帽",2394
"未領用或未懸掛牌照等",2210
"駕照不合規定者",1741
"查報佔用道路廢棄車輛數量",1459
"於身心障礙專用停車位違規停車",1409
"違規車輛移置保管",1114
"82條第1項第1.10款83條第1項第2款以外之其他道路障礙",760
"越級駕駛",701
"不服或抗拒交通警察人員取締",670
"裝載超過核定之總重量總聯結重量者",668
"行車速度超規定過之最高時速60公里",547
"汽車所有人提供汽車駕駛人危險駕車",524
"在多車道不依規定駕車",444
"五年內二次以上酒駕違規者",426
"設備不全或損壞不予修復",418
"直行車佔用轉彎專用車道",363
"駕車吸菸致影響他人行車安全",313
"不依規定超車",295
"肇事無人傷亡未依規定處理而逃逸者",244
"駕照吊扣期間駕車",221
"肇事致人傷亡而逃逸者",196
"重要設備變更或因事故損壞未檢驗而行駛",185
"以迫近驟然變換車道或不當方式迫使他車讓道",181
"吸食毒品迷幻藥麻醉品及其相類似之管制藥品者",135
"未繫安全帶",133
"未領用有效牌照、懸掛他車或未懸掛號牌停車",128
"拒絕接受酒精或管制藥品之檢測",122
"載運客貨違反規定",112
"行駛道路以手持方式使用行動電話",110
"未辦理執業登記",91
"機踏車附載人員或物品未依規定",85
"慢車酒駕濃度超過規定標準",84
"損毀或變造牌照致不能辨認牌號",82
"拆除消音器或以其他方式製造噪音",63
"在車道交通島散發廣告物等或在車站內休息站販賣物品妨礙交通",52
"報廢汽車仍行駛",49
"肇事致人死傷未依規定處置",49
"蛇行或危險駕車",41
"各項異動不依規定申報登記",38
"肇事無人傷亡不將車輛移置路邊",32
"行人通行違規",30
"不依規定辦理異動申請或年度查驗者",29
"行經行人穿越道不暫停讓行人先行",24
"慢車不服從警察指揮或不依標誌標線號誌之指示",24
"行駛中任意驟然減速煞車或暫停",16
"轉彎不暫停讓行人優先通行",14
"裝載砂石土方未依規定使用專用車輛",13
"慢車不依規定停放車輛",13
"行經警察機關設有告示執行酒測勤務處所不依指示停車接受稽查",10
"執業登記證未依規定安置等",10
"設有劃分島在慢車道右轉彎或在快車道左轉彎",10
"二輛以上競駛競技",9
"大型車駕照不合規定者",9
"未依規定減速慢行",7
"路口淨空",7
"慢車在同一慢車道上不按遵行方向行駛",7
"大型車未領有駕照駕車",6
"在道路上停放待售或承修之車輛",6
"附載幼童未依規定安置於安全椅",5
"慢車不依規定轉彎超車停車或通過交叉路口",5
"慢車拒絕酒精濃度檢測",5
"行駛道路使用電腦或其他相類功能裝置",4
"拒載短程繞道行駛",4
"慢車在夜間行車未開啟燈光",4
"駕駛人違規攬客",3
"違反道安規則管制規則肇事致人受傷",2
"拼裝車輛違規行駛",1
"牌照遺失或破損不報請補發",1
"慢車在人行道或快車道行駛",1
"慢車行駛道路手持使用行動電話或其他相類功能裝置",1
"慢車載運客貨違規",1
"闖越平交道或在平交道違規",1
"三輪以上慢車未領照行駛",0
"大型車駕照吊扣期間駕車",0
"六歲以下兒童單獨留置車內",0
"未繫安全帶(高速公路)",0
"在道路上堆積放置足以阻礙交通之物",0
"行人在車輛行駛中攀登跳車或攀附隨行者",0
"行人違規攬客",0
"行人闖越鐵路平交道",0
"非屬汽車之載具動力休閒器材違規行駛",0
"動力機械未請領臨時通行證",0
"強制移由醫療或檢驗機構採樣測定等",0
"號牌遺失經舉發後不報請補發仍行駛",0
"慢車不在規定之地區路線或時間內行駛",0
"慢車不在劃設之慢車道通行或在未劃設慢車道之道路不靠右側路邊行駛",0
"慢車不依規定擅自穿越快車道",0
"慢車在道路上爭先爭道或其他危險方式駕車",0
"慢車行經行人穿越道或交岔路口彎不讓行人優先通行",0
"慢車於允許通行之人行道上未讓行人優先通行",0
"慢車牽引其他車輛或攀附汽車隨行",0
"慢車聞消防車警備車救護車工程救險車警號不立即避讓",0
"慢車擅自變更裝置或不依規定保持煞車鈴號燈",0
"慢車闖平交道",0
"慢車證照未隨身攜帶",0
"營業大客車酒後或吸食管制藥品後駕車",0
