"month","vehicle_type","count"
1,"機車",31703
1,"汽車",30652
1,"重型機車(250CC以上)",280
2,"汽車",33987
2,"機車",32834
2,"重型機車(250CC以上)",376
3,"汽車",37343
3,"機車",32097
3,"重型機車(250CC以上)",401
4,"機車",33760
4,"汽車",29077
4,"重型機車(250CC以上)",338
5,"機車",40930
5,"汽車",36273
5,"重型機車(250CC以上)",421
6,"機車",33203
6,"汽車",30013
6,"重型機車(250CC以上)",253
7,"機車",47842
7,"汽車",39554
7,"重型機車(250CC以上)",577
8,"機車",37759
8,"汽車",26286
8,"重型機車(250CC以上)",317
9,"機車",37614
9,"汽車",31116
9,"重型機車(250CC以上)",487
10,"機車",35652
10,"汽車",29408
10,"重型機車(250CC以上)",424
11,"機車",38158
11,"汽車",30848
11,"重型機車(250CC以上)",511
12,"汽車",27506
12,"機車",26604
12,"重型機車(250CC以上)",276
